Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,CategoryTree,Product Name,Sales,Quantity,Discount,Profit
7492,US-2017-118598,11/16/2017,11/16/2017,Same Day,CM-12190,Charlotte Melton,Consumer,United States,Utica,New York,13501,East,TEC-PH-10002583,"{'MainCategory': 'Technology', 'SubCategory': 'Phones'}",iOttie HLCRIO102 Car Mount,119.94,6,0,5.997
6641,CA-2017-128328,8/5/2017,8/9/2017,Standard Class,PO-18865,Patrick O'Donnell,Consumer,United States,Indianapolis,Indiana,46203,Central,OFF-BI-10001989,"{'MainCategory': 'Office Supplies', 'SubCategory': 'Binders'}",Premium Transparent Presentation Covers by GBC,125.88,6,0,60.4224
9243,CA-2014-113271,7/9/2014,7/14/2014,Standard Class,DS-13030,Darrin Sayre,Home Office,United States,San Francisco,California,94122,West,OFF-BI-10002609,"{'MainCategory': 'Office Supplies', 'SubCategory': 'Binders'}",Avery Hidden Tab Dividers for Binding Systems,14.304,6,0.2,4.6488
2469,CA-2017-128755,5/4/2017,5/8/2017,Standard Class,MK-18160,Mike Kennedy,Consumer,United States,Newport News,Virginia,23602,South,OFF-PA-10004983,"{'MainCategory': 'Office Supplies', 'SubCategory': 'Paper'}",Xerox 23,32.4,5,0,15.552
3136,CA-2017-164168,11/12/2017,11/18/2017,Standard Class,LS-16975,Lindsay Shagiari,Home Office,United States,Dallas,Texas,75081,Central,OFF-ST-10002583,"{'MainCategory': 'Office Supplies', 'SubCategory': 'Storage'}",Fellowes Neat Ideas Storage Cubes,77.952,3,0.2,-15.5904
8764,CA-2016-112578,12/29/2016,,Standard Class,FO-14305,Frank Olsen,Consumer,United States,Sacramento,California,95823,West,OFF-SU-10002557,"{'MainCategory': 'Office Supplies', 'SubCategory': 'Supplies'}",Fiskars Spring-Action Scissors,27.96,2,0,7.2696
,CA-2017-145429,7/21/2017,7/25/2017,Standard Class,SW-20455,Shaun Weien,Consumer,United States,San Diego,California,92024,West,FUR-CH-10000988,"{'MainCategory': 'Furniture', 'SubCategory': 'Chairs'}",Hon Olson Stacker Stools,225.296,2,0.2,22.5296
100,CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,Rick Bensley,Home Office,,Chicago,Illinois,60610,Central,OFF-PA-10003256,"{'MainCategory': 'Office Supplies', 'SubCategory': 'Paper'}",Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184
4165,US-2017-106131,1/14/2017,1/16/2017,First Class,TP-21565,Tracy Poddar,Corporate,United States,Aurora,Colorado,80013,West,TEC-AC-10003027,"{'MainCategory': 'Technology', 'SubCategory': 'Accessories'}",Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,169.064,7,0.2,-14.7931
6288,CA-2014-100090,7/8/2014,7/12/2014,Standard Class,EB-13705,Ed Braxton,Corporate,United States,San Francisco,California,94122,West,FUR-TA-10003715,"{'MainCategory': 'Furniture', 'SubCategory': 'Tables'}",Hon 2111 Invitation Series Corner Table,502.488,3,0.2,-87.9354
1734,US-2016-131149,7/10/2016,7/14/2016,Standard Class,LH-17155,Logan Haushalter,Consumer,United States,Dallas,Texas,75081,Central,OFF-AR-10002135,"{'MainCategory': 'Office Supplies', 'SubCategory': 'Art'}",Boston Heavy-Duty Trimline Electric Pencil Sharpeners,154.24,4,0.2,17.352
861,CA-2014-133851,6/9/2014,6/16/2014,Standard Class,CM-12445,Chuck Magee,Consumer,United States,San Francisco,California,94122,West,,"{'MainCategory': 'Office Supplies', 'SubCategory': 'Supplies'}",Staple remover,7.36,2,0,0.1472
8936,CA-2017-130036,8/27/2017,8/27/2017,Same Day,,,Corporate,United States,,Pennsylvania,19120,East,TEC-AC-10001908,"{'MainCategory': 'Technology', 'SubCategory': 'Accessories'}",Logitech Wireless Headset h800,1119.888,14,0.2,209.979
8719,CA-2016-120824,6/12/2016,6/16/2016,Second Class,AW-10930,Arthur Wiediger,Home Office,United States,Houston,Texas,77070,Central,OFF-AR-10003469,"{'MainCategory': 'Office Supplies', 'SubCategory': 'Art'}",Nontoxic Chalk,11.264,8,0.2,
9781,CA-2016-153178,,9/18/2016,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Long Beach,New York,11561,East,TEC-PH-10001944,"{'MainCategory': 'Technology', 'SubCategory': 'Phones'}",Wi-Ex zBoost YX540 Cellular Phone Signal Booster,437.85,3,0,131.355
7802,CA-2014-143637,3/24/2014,3/29/2014,Second Class,MS-17710,Maurice Satty,Consumer,United States,Fresno,California,93727,West,FUR-FU-10002813,"{'MainCategory': 'Furniture', 'SubCategory': 'Furnishings'}","DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",40.48,2,0,14.5728
2937,US-2016-169040,12/6/2016,12/12/2016,Standard Class,GT-14710,Greg Tran,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10001636,"{'MainCategory': 'Office Supplies', 'SubCategory': 'Binders'}",Ibico Plastic and Wire Spiral Binding Combs,47.208,7,0.2,15.3426
6203,CA-2016-118332,12/16/2016,12/23/2016,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Apple Valley,California,92307,West,FUR-CH-10001708,"{'MainCategory': 'Furniture', 'SubCategory': 'Chairs'}",Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,563.92,5,0.2,7.049
,,,,,,,,,,,,,,,,,,,
3479,CA-2016-131289,12/8/2016,12/14/2016,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,San Francisco,California,94110,West,OFF-AR-10003056,"{'MainCategory': 'Office Supplies', 'SubCategory': 'Art'}",Newell 341,8.56,2,0,2.4824
4003,CA-2016-145730,3/3/2016,3/8/2016,Standard Class,CC-12220,Chris Cortes,Consumer,United States,San Antonio,Texas,78207,Central,FUR-TA-10004915,"{'MainCategory': 'Furniture', 'SubCategory': 'Tables'}","Office Impressions End Table, 20-1/2""H x 24""W x 20""D",637.896,3,0.3,-127.5792
6893,CA-2017-164756,9/18/2017,9/22/2017,Standard Class,SS-20140,Saphhira Shifley,Corporate,United States,Columbus,Georgia,31907,South,OFF-PA-10003848,"{'MainCategory': 'Office Supplies', 'SubCategory': 'Paper'}",Xerox 1997,25.92,4,0,12.4416
2995,CA-2016-112893,9/9/2016,9/13/2016,Second Class,AT-10735,Annie Thurman,Consumer,United States,Stockton,California,95207,,OFF-BI-10004654,"{'MainCategory': 'Office Supplies', 'SubCategory': 'Binders'}",VariCap6 Expandable Binder,55.36,4,0.2,18.684
2967,CA-2014-162866,12/27/2014,12/31/2014,Standard Class,Co-12640,Corey-Lock,,United States,Skokie,Illinois,60076,Central,FUR-FU-10001473,"{'MainCategory': 'Furniture', 'SubCategory': 'Furnishings'}",DAX Wood Document Frame,32.952,6,0.6,-19.7712
4264,CA-2017-110429,11/3/2017,11/8/2017,Standard Class,,Darrin Martin,Consumer,United States,Philadelphia,Pennsylvania,19143,East,OFF-BI-10000216,"{'MainCategory': 'Office Supplies', 'SubCategory': 'Binders'}","Mead 1st Gear 2"" Zipper Binder, Asst. Colors",11.673,3,0.7,-7.782
